km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,wheell_type,condition,owners_count,customs_cleared,price
138959,MERCEDES,S_KLASSE_AMG,585,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,седан,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,3690000
40452,AUDI,A8,340,PREMIUM,used,AUTOMATIC,2018,GASOLINE,Москва,седан,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,5698000
187000,NISSAN,TEANA,249,MEDIUM,used,VARIATOR,2011,GASOLINE,Москва,седан,чёрный,передний,Левый,Не требует ремонта,3 или более,Растаможен,750000
0,MITSUBISHI,OUTLANDER,146,MEDIUM,new,VARIATOR,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,1912000
1,MERCEDES,V_KLASSE,190,PREMIUM,used,AUTOMATIC,2020,DIESEL,Москва,минивэн,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,24900000
0,NISSAN,QASHQAI,144,MEDIUM,new,VARIATOR,2020,GASOLINE,Москва,внедорожник 5 дв.,белый,неизвестно,Левый,Новая,0 владелецев,Растаможен,1755000
16426,VAZ,LARGUS,106,ECONOMY,used,MECHANICAL,2020,GASOLINE,Москва,универсал 5 дв.,синий,передний,Левый,Не требует ремонта,1 владелец,Растаможен,775000
73277,INFINITI,Q50,211,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,седан,белый,задний,Левый,Не требует ремонта,3 или более,Растаможен,1305000
0,VOLKSWAGEN,JETTA,150,MEDIUM,new,AUTOMATIC,2020,GASOLINE,Москва,седан,белый,неизвестно,Левый,Новая,0 владелецев,Растаможен,1927000
124500,VAZ,2111,90,ECONOMY,used,MECHANICAL,2006,GASOLINE,Москва,универсал 5 дв.,синий,передний,Левый,Не требует ремонта,3 или более,Растаможен,149800
68000,BMW,M5,560,PREMIUM,used,ROBOT,2012,GASOLINE,Москва,седан,белый,задний,Левый,Не требует ремонта,3 или более,Растаможен,2175000
57445,HONDA,ACCORD,180,MEDIUM,used,AUTOMATIC,2013,GASOLINE,Москва,седан,чёрный,передний,Левый,Не требует ремонта,1 владелец,Растаможен,1180000
147000,HYUNDAI,ELANTRA,122,MEDIUM,used,AUTOMATIC,2009,GASOLINE,Москва,седан,пурпурный,передний,Левый,Не требует ремонта,3 или более,Растаможен,345000
76259,MERCEDES,GLC_COUPE,211,PREMIUM,used,AUTOMATIC,2016,GASOLINE,Москва,внедорожник 5 дв.,синий,полный,Левый,Не требует ремонта,3 или более,Растаможен,2998000
37603,MERCEDES,CLS_KLASSE_AMG,585,PREMIUM,used,AUTOMATIC,2015,GASOLINE,Москва,седан,серый,полный,Левый,Не требует ремонта,3 или более,Растаможен,4357000
0,MERCEDES,E_KLASSE,194,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,седан,синий,неизвестно,Левый,Новая,0 владелецев,Растаможен,4744800
63000,VAZ,2121,79,ECONOMY,used,MECHANICAL,2007,GASOLINE,Москва,внедорожник 3 дв.,зелёный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,225000
0,MERCEDES,GLC_COUPE,194,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,5139800
43421,MERCEDES,C_KLASSE_AMG,457,PREMIUM,used,AUTOMATIC,2012,GASOLINE,Москва,купе,красный,задний,Левый,Не требует ремонта,3 или более,Растаможен,2248000
217000,FORD,ESCAPE,145,MEDIUM,used,AUTOMATIC,2008,GASOLINE,Москва,внедорожник 5 дв.,красный,полный,Левый,Не требует ремонта,3 или более,Растаможен,389000
54240,MERCEDES,GLE_KLASSE,245,PREMIUM,used,AUTOMATIC,2019,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,5198000
0,MERCEDES,AMG_GT,367,PREMIUM,new,ROBOT,2020,GASOLINE,Москва,лифтбек,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,10653000
169000,VOLKSWAGEN,CARAVELLE,204,MEDIUM,used,ROBOT,2013,GASOLINE,Москва,минивэн,серебристый,передний,Левый,Не требует ремонта,1 владелец,Растаможен,1280000
33031,MERCEDES,S_KLASSE_AMG,612,PREMIUM,used,AUTOMATIC,2018,GASOLINE,Москва,седан,серый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,8236800
32360,AUDI,RS6,560,PREMIUM,used,AUTOMATIC,2015,GASOLINE,Москва,универсал 5 дв.,голубой,полный,Левый,Не требует ремонта,3 или более,Растаможен,4995000
11781,VAZ,2107,73,ECONOMY,used,MECHANICAL,2008,GASOLINE,Москва,седан,синий,задний,Левый,Не требует ремонта,1 владелец,Растаможен,185000
139000,TOYOTA,VENZA,182,MEDIUM,used,AUTOMATIC,2010,GASOLINE,Москва,внедорожник 5 дв.,серый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,1295000
0,VOLKSWAGEN,TOUAREG,249,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,внедорожник 5 дв.,коричневый,неизвестно,Левый,Новая,0 владелецев,Растаможен,5689047
224787,MAZDA,CX_9,277,MEDIUM,used,AUTOMATIC,2008,GASOLINE,Москва,внедорожник 5 дв.,красный,полный,Левый,Не требует ремонта,3 или более,Растаможен,578000
50429,HYUNDAI,SANTA_FE,188,MEDIUM,used,AUTOMATIC,2019,GASOLINE,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,1879000
0,VOLVO,XC60,249,PREMIUM,new,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,серый,неизвестно,Левый,Новая,0 владелецев,Растаможен,4156700
74774,CADILLAC,XT5,314,PREMIUM,used,AUTOMATIC,2016,GASOLINE,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,2064000
67222,FORD,F_150,395,MEDIUM,used,AUTOMATIC,2018,GASOLINE,Москва,пикап двойная кабина,серебристый,полный,Левый,Не требует ремонта,1 владелец,Растаможен,4000000
